"Designator","Footprint","Mid X","Mid Y","Ref X","Ref Y","Pad X","Pad Y","Layer","Rotation","Comment"
"LED3_Col8","0805_A","82.804mm","60.96mm","82.804mm","60.96mm","82.804mm","62.01mm","T","270.00","150080GS75000"
"LED3_Col9","0805_A","120.396mm","60.96mm","120.396mm","60.96mm","120.396mm","62.01mm","T","270.00","150080GS75000"
"LED3_Col10","0805_A","125.476mm","60.96mm","125.476mm","60.96mm","125.476mm","62.01mm","T","270.00","150080GS75000"
"LED3_Col11","0805_A","130.556mm","60.96mm","130.556mm","60.96mm","130.556mm","62.01mm","T","270.00","150080GS75000"
"LED3_Col12","0805_A","135.636mm","60.96mm","135.636mm","60.96mm","135.636mm","62.01mm","T","270.00","150080GS75000"
"LED3_Col13","0805_A","140.716mm","60.96mm","140.716mm","60.96mm","140.716mm","62.01mm","T","270.00","150080GS75000"
"LED3_Col14","0805_A","145.796mm","60.96mm","145.796mm","60.96mm","145.796mm","62.01mm","T","270.00","150080GS75000"
"LED3_Col15","0805_A","150.876mm","60.96mm","150.876mm","60.96mm","150.876mm","62.01mm","T","270.00","150080GS75000"
"LED3_Col16","0805_A","155.956mm","60.96mm","155.956mm","60.96mm","155.956mm","62.01mm","T","270.00","150080GS75000"
"LED4_Col1","0805_A","47.244mm","55.88mm","47.244mm","55.88mm","47.244mm","56.93mm","T","270.00","150080GS75000"
"LED4_Col2","0805_A","52.324mm","55.88mm","52.324mm","55.88mm","52.324mm","56.93mm","T","270.00","150080GS75000"
"LED4_Col3","0805_A","57.404mm","55.88mm","57.404mm","55.88mm","57.404mm","56.93mm","T","270.00","150080GS75000"
"LED4_Col4","0805_A","62.484mm","55.88mm","62.484mm","55.88mm","62.484mm","56.93mm","T","270.00","150080GS75000"
"LED4_Col5","0805_A","67.564mm","55.88mm","67.564mm","55.88mm","67.564mm","56.93mm","T","270.00","150080GS75000"
"LED4_Col6","0805_A","72.644mm","55.88mm","72.644mm","55.88mm","72.644mm","56.93mm","T","270.00","150080GS75000"
"LED4_Col7","0805_A","77.724mm","55.88mm","77.724mm","55.88mm","77.724mm","56.93mm","T","270.00","150080GS75000"
"LED4_Col8","0805_A","82.804mm","55.88mm","82.804mm","55.88mm","82.804mm","56.93mm","T","270.00","150080GS75000"
"LED4_Col9","0805_A","120.396mm","55.88mm","120.396mm","55.88mm","120.396mm","56.93mm","T","270.00","150080GS75000"
"LED4_Col10","0805_A","125.476mm","55.88mm","125.476mm","55.88mm","125.476mm","56.93mm","T","270.00","150080GS75000"
"LED4_Col11","0805_A","130.556mm","55.88mm","130.556mm","55.88mm","130.556mm","56.93mm","T","270.00","150080GS75000"
"LED4_Col12","0805_A","135.636mm","55.88mm","135.636mm","55.88mm","135.636mm","56.93mm","T","270.00","150080GS75000"
"LED4_Col13","0805_A","140.716mm","55.88mm","140.716mm","55.88mm","140.716mm","56.93mm","T","270.00","150080GS75000"
"LED4_Col14","0805_A","145.796mm","55.88mm","145.796mm","55.88mm","145.796mm","56.93mm","T","270.00","150080GS75000"
"LED4_Col15","0805_A","150.876mm","55.88mm","150.876mm","55.88mm","150.876mm","56.93mm","T","270.00","150080GS75000"
"LED4_Col16","0805_A","155.956mm","55.88mm","155.956mm","55.88mm","155.956mm","56.93mm","T","270.00","150080GS75000"
"LED5_Col1","0805_A","47.244mm","50.8mm","47.244mm","50.8mm","47.244mm","51.85mm","T","270.00","150080GS75000"
"LED5_Col2","0805_A","52.324mm","50.8mm","52.324mm","50.8mm","52.324mm","51.85mm","T","270.00","150080GS75000"
"LED5_Col3","0805_A","57.404mm","50.8mm","57.404mm","50.8mm","57.404mm","51.85mm","T","270.00","150080GS75000"
"LED5_Col4","0805_A","62.484mm","50.8mm","62.484mm","50.8mm","62.484mm","51.85mm","T","270.00","150080GS75000"
"LED5_Col5","0805_A","67.564mm","50.8mm","67.564mm","50.8mm","67.564mm","51.85mm","T","270.00","150080GS75000"
"LED5_Col6","0805_A","72.644mm","50.8mm","72.644mm","50.8mm","72.644mm","51.85mm","T","270.00","150080GS75000"
"LED5_Col7","0805_A","77.724mm","50.8mm","77.724mm","50.8mm","77.724mm","51.85mm","T","270.00","150080GS75000"
"LED5_Col8","0805_A","82.804mm","50.8mm","82.804mm","50.8mm","82.804mm","51.85mm","T","270.00","150080GS75000"
"LED5_Col9","0805_A","120.396mm","50.8mm","120.396mm","50.8mm","120.396mm","51.85mm","T","270.00","150080GS75000"
"LED5_Col10","0805_A","125.476mm","50.8mm","125.476mm","50.8mm","125.476mm","51.85mm","T","270.00","150080GS75000"
"LED5_Col11","0805_A","130.556mm","50.8mm","130.556mm","50.8mm","130.556mm","51.85mm","T","270.00","150080GS75000"
"LED5_Col12","0805_A","135.636mm","50.8mm","135.636mm","50.8mm","135.636mm","51.85mm","T","270.00","150080GS75000"
"LED5_Col13","0805_A","140.716mm","50.8mm","140.716mm","50.8mm","140.716mm","51.85mm","T","270.00","150080GS75000"
"LED5_Col14","0805_A","145.796mm","50.8mm","145.796mm","50.8mm","145.796mm","51.85mm","T","270.00","150080GS75000"
"LED5_Col15","0805_A","150.876mm","50.8mm","150.876mm","50.8mm","150.876mm","51.85mm","T","270.00","150080GS75000"
"LED5_Col16","0805_A","155.956mm","50.8mm","155.956mm","50.8mm","155.956mm","51.85mm","T","270.00","150080GS75000"
"LED6_Col1","0805_A","47.244mm","45.72mm","47.244mm","45.72mm","47.244mm","46.77mm","T","270.00","150080GS75000"
"LED6_Col2","0805_A","52.324mm","45.72mm","52.324mm","45.72mm","52.324mm","46.77mm","T","270.00","150080GS75000"
"LED6_Col3","0805_A","57.404mm","45.72mm","57.404mm","45.72mm","57.404mm","46.77mm","T","270.00","150080GS75000"
"LED6_Col4","0805_A","62.484mm","45.72mm","62.484mm","45.72mm","62.484mm","46.77mm","T","270.00","150080GS75000"
"LED6_Col5","0805_A","67.564mm","45.72mm","67.564mm","45.72mm","67.564mm","46.77mm","T","270.00","150080GS75000"
"LED6_Col6","0805_A","72.644mm","45.72mm","72.644mm","45.72mm","72.644mm","46.77mm","T","270.00","150080GS75000"
"LED6_Col7","0805_A","77.724mm","45.72mm","77.724mm","45.72mm","77.724mm","46.77mm","T","270.00","150080GS75000"
"LED6_Col8","0805_A","82.804mm","45.72mm","82.804mm","45.72mm","82.804mm","46.77mm","T","270.00","150080GS75000"
"LED6_Col9","0805_A","120.396mm","45.72mm","120.396mm","45.72mm","120.396mm","46.77mm","T","270.00","150080GS75000"
"LED6_Col10","0805_A","125.476mm","45.72mm","125.476mm","45.72mm","125.476mm","46.77mm","T","270.00","150080GS75000"
"LED6_Col11","0805_A","130.556mm","45.72mm","130.556mm","45.72mm","130.556mm","46.77mm","T","270.00","150080GS75000"
"LED6_Col12","0805_A","135.636mm","45.72mm","135.636mm","45.72mm","135.636mm","46.77mm","T","270.00","150080GS75000"
"LED6_Col13","0805_A","140.716mm","45.72mm","140.716mm","45.72mm","140.716mm","46.77mm","T","270.00","150080GS75000"
"LED6_Col14","0805_A","145.796mm","45.72mm","145.796mm","45.72mm","145.796mm","46.77mm","T","270.00","150080GS75000"
"LED6_Col15","0805_A","150.876mm","45.72mm","150.876mm","45.72mm","150.876mm","46.77mm","T","270.00","150080GS75000"
"LED6_Col16","0805_A","155.956mm","45.72mm","155.956mm","45.72mm","155.956mm","46.77mm","T","270.00","150080GS75000"
"LED7_Col1","0805_A","47.244mm","40.64mm","47.244mm","40.64mm","47.244mm","41.69mm","T","270.00","150080GS75000"
"LED7_Col2","0805_A","52.324mm","40.64mm","52.324mm","40.64mm","52.324mm","41.69mm","T","270.00","150080GS75000"
"LED7_Col3","0805_A","57.404mm","40.64mm","57.404mm","40.64mm","57.404mm","41.69mm","T","270.00","150080GS75000"
"LED7_Col4","0805_A","62.484mm","40.64mm","62.484mm","40.64mm","62.484mm","41.69mm","T","270.00","150080GS75000"
"LED7_Col5","0805_A","67.564mm","40.64mm","67.564mm","40.64mm","67.564mm","41.69mm","T","270.00","150080GS75000"
"LED7_Col6","0805_A","72.644mm","40.64mm","72.644mm","40.64mm","72.644mm","41.69mm","T","270.00","150080GS75000"
"LED7_Col7","0805_A","77.724mm","40.64mm","77.724mm","40.64mm","77.724mm","41.69mm","T","270.00","150080GS75000"
"LED7_Col8","0805_A","82.804mm","40.64mm","82.804mm","40.64mm","82.804mm","41.69mm","T","270.00","150080GS75000"
"LED7_Col9","0805_A","120.396mm","40.64mm","120.396mm","40.64mm","120.396mm","41.69mm","T","270.00","150080GS75000"
"LED7_Col10","0805_A","125.476mm","40.64mm","125.476mm","40.64mm","125.476mm","41.69mm","T","270.00","150080GS75000"
"LED7_Col11","0805_A","130.556mm","40.64mm","130.556mm","40.64mm","130.556mm","41.69mm","T","270.00","150080GS75000"
"LED7_Col12","0805_A","135.636mm","40.64mm","135.636mm","40.64mm","135.636mm","41.69mm","T","270.00","150080GS75000"
"LED7_Col13","0805_A","140.716mm","40.64mm","140.716mm","40.64mm","140.716mm","41.69mm","T","270.00","150080GS75000"
"LED7_Col14","0805_A","145.796mm","40.64mm","145.796mm","40.64mm","145.796mm","41.69mm","T","270.00","150080GS75000"
"LED7_Col15","0805_A","150.876mm","40.64mm","150.876mm","40.64mm","150.876mm","41.69mm","T","270.00","150080GS75000"
"LED7_Col16","0805_A","155.956mm","40.64mm","155.956mm","40.64mm","155.956mm","41.69mm","T","270.00","150080GS75000"
"LED8_Col1","0805_A","47.244mm","35.56mm","47.244mm","35.56mm","47.244mm","36.61mm","T","270.00","150080GS75000"
"LED8_Col2","0805_A","52.324mm","35.56mm","52.324mm","35.56mm","52.324mm","36.61mm","T","270.00","150080GS75000"
"LED8_Col3","0805_A","57.404mm","35.56mm","57.404mm","35.56mm","57.404mm","36.61mm","T","270.00","150080GS75000"
"LED8_Col4","0805_A","62.484mm","35.56mm","62.484mm","35.56mm","62.484mm","36.61mm","T","270.00","150080GS75000"
"LED8_Col5","0805_A","67.564mm","35.56mm","67.564mm","35.56mm","67.564mm","36.61mm","T","270.00","150080GS75000"
"LED8_Col6","0805_A","72.644mm","35.56mm","72.644mm","35.56mm","72.644mm","36.61mm","T","270.00","150080GS75000"
"LED8_Col7","0805_A","77.724mm","35.56mm","77.724mm","35.56mm","77.724mm","36.61mm","T","270.00","150080GS75000"
"LED8_Col8","0805_A","82.804mm","35.56mm","82.804mm","35.56mm","82.804mm","36.61mm","T","270.00","150080GS75000"
"LED8_Col9","0805_A","120.396mm","35.56mm","120.396mm","35.56mm","120.396mm","36.61mm","T","270.00","150080GS75000"
"LED8_Col10","0805_A","125.476mm","35.56mm","125.476mm","35.56mm","125.476mm","36.61mm","T","270.00","150080GS75000"
"LED8_Col11","0805_A","130.556mm","35.56mm","130.556mm","35.56mm","130.556mm","36.61mm","T","270.00","150080GS75000"
"LED8_Col12","0805_A","135.636mm","35.56mm","135.636mm","35.56mm","135.636mm","36.61mm","T","270.00","150080GS75000"
"LED8_Col13","0805_A","140.716mm","35.56mm","140.716mm","35.56mm","140.716mm","36.61mm","T","270.00","150080GS75000"
"LED8_Col14","0805_A","145.796mm","35.56mm","145.796mm","35.56mm","145.796mm","36.61mm","T","270.00","150080GS75000"
"LED8_Col15","0805_A","150.876mm","35.56mm","150.876mm","35.56mm","150.876mm","36.61mm","T","270.00","150080GS75000"
"LED8_Col16","0805_A","155.956mm","35.56mm","155.956mm","35.56mm","155.956mm","36.61mm","T","270.00","150080GS75000"
"U3","QFN32","96.52mm","68.58mm","96.52mm","68.58mm","97.0327mm","71.5675mm","B","225.00","MSP2553"
"C_Mic","6-0805_M","87.757mm","61.087mm","87.757mm","61.087mm","86.757mm","61.087mm","T","360.00","Cap"
"C5","6-0805_M","152.908mm","58.42mm","152.908mm","58.42mm","152.908mm","57.42mm","B","90.00","Cap"
"C6","6-0805_M","150.368mm","58.42mm","150.368mm","58.42mm","150.368mm","57.42mm","B","90.00","Cap"
"C3","6-0805_M","53.34mm","64.77mm","53.34mm","64.77mm","54.34mm","64.77mm","B","180.00","Cap"
"C4","6-0805_M","147.955mm","51.435mm","147.955mm","51.435mm","146.955mm","51.435mm","B","360.00","Cap"
"L1","0805_A","127mm","69.723mm","127mm","69.723mm","128.05mm","69.723mm","B","180.00","150080RS75000"
"L2","0805_A","127mm","72.263mm","127mm","72.263mm","128.05mm","72.263mm","B","180.00","150080RS75000"
"R4","6-0805_N","83.566mm","71.501mm","83.566mm","71.501mm","83.566mm","70.601mm","B","90.00","Res1"
"R5","6-0805_M","130.937mm","69.723mm","130.937mm","69.723mm","129.937mm","69.723mm","B","360.00","Res1"
"R6","6-0805_M","130.937mm","72.263mm","130.937mm","72.263mm","131.937mm","72.263mm","B","180.00","Res1"
"C7","6-0805_N","90.424mm","71.501mm","90.424mm","71.501mm","90.424mm","72.401mm","B","270.00","Cap"
"C8","6-0805_N","88.519mm","71.501mm","88.519mm","71.501mm","88.519mm","72.401mm","B","270.00","Cap"
"C9","6-0805_N","85.471mm","71.501mm","85.471mm","71.501mm","85.471mm","72.401mm","B","270.00","Cap"
"IR1","IR","102.235mm","73.406mm","97.155mm","75.946mm","102.235mm","73.406mm","T","270.00","IR Reciever"
"R7","6-0805_M","107.442mm","72.263mm","107.442mm","72.263mm","107.442mm","73.263mm","T","270.00","Res1"
"P1","HDR1X5H","72.644mm","74.295mm","77.724mm","74.295mm","77.724mm","74.295mm","T","180.00","Header 5H"
"8","6-0805_M","108.585mm","48.895mm","108.585mm","48.895mm","108.585mm","47.895mm","B","90.00","Res1"
"P2","HDR1X2","110.744mm","49.149mm","110.744mm","50.419mm","110.744mm","50.419mm","T","270.00","Header 2"
"RX","0805_A","123.317mm","72.263mm","123.317mm","72.263mm","122.267mm","72.263mm","B","360.00","150080RS75000"
"R8","6-0805_N","119.761mm","72.263mm","119.761mm","72.263mm","118.861mm","72.263mm","B","360.00","Res1"

